UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
SC;CAPINZAL;21791;11770;0;625;200;2148;566;0;5;82;3801;1539;102;0;495;211;0;7;0;3;2;235
SC;CAPIVARI DE BAIXO;21658;11248;0;417;364;1092;722;0;42;31;3978;2210;38;0;476;642;6;35;0;9;1;347
SC;CATANDUVAS;9249;5341;0;413;223;1054;325;1;1;47;702;187;55;0;181;589;0;6;0;7;1;116
SC;CAXAMBU DO SUL;3505;1682;0;165;26;431;85;0;2;6;843;115;15;0;75;32;0;0;0;0;0;28
SC;CELSO RAMOS;2407;1259;0;88;99;307;68;0;0;14;362;53;9;0;37;102;0;0;0;0;0;9
SC;CERRO NEGRO;2163;1337;0;85;16;322;38;0;0;8;292;9;22;0;10;20;0;1;0;0;0;3
SC;CHAPADAO DO LAGEADO;2669;1299;0;102;3;289;64;0;0;9;695;87;9;0;97;2;0;3;0;3;0;7
SC;CHAPECO;223062;116957;0;5771;4353;20105;10563;1;247;426;33667;14204;535;0;5366;5451;27;185;0;55;38;5111
SC;COCAL DO SUL;15866;8759;0;365;171;1327;609;0;8;27;2755;653;33;0;558;190;1;9;0;2;1;398
SC;CONCORDIA;82512;38867;0;3389;3558;7750;3267;0;25;244;12584;5453;284;0;1501;4145;21;65;0;18;17;1324
SC;CORDILHEIRA ALTA;4905;2167;0;452;168;598;147;0;0;39;658;216;66;0;126;198;0;4;1;2;1;62
SC;CORONEL FREITAS;8586;4332;0;368;103;1198;278;0;5;13;1429;410;36;0;175;141;1;3;0;2;0;92
SC;CORONEL MARTINS;1769;1016;0;64;4;203;32;0;0;10;384;20;7;0;18;3;0;0;0;1;0;7
SC;CORREIA PINTO;12458;7657;0;511;158;1492;356;0;6;56;1338;162;80;0;293;255;0;14;0;1;3;76
SC;CORUPA;13457;6418;0;533;30;1438;565;0;17;10;2873;791;40;0;463;33;2;9;0;7;2;226
SC;CRICIUMA;183958;106753;0;3740;2434;12376;9370;0;162;349;28609;5725;545;1;5144;2903;9;181;3;48;30;5576
SC;CUNHA PORA;10574;5364;0;470;218;1085;358;1;2;29;1747;433;71;0;217;399;7;13;0;0;1;159
SC;CUNHATAI;1691;905;0;69;8;175;65;0;1;6;346;61;9;0;28;6;0;0;0;1;0;11
SC;CURITIBANOS;34431;21620;0;1284;245;3899;1187;1;5;112;3786;835;178;0;560;323;1;14;0;17;8;356
SC;DESCANSO;8150;3937;0;278;266;949;258;0;0;25;1453;300;35;0;150;403;4;4;0;3;2;83
SC;DIONISIO CERQUEIRA;11972;6741;0;227;433;1312;449;0;1;26;1560;250;23;0;174;463;2;12;0;3;2;294
SC;DONA EMMA;3580;1924;0;158;24;318;112;0;0;12;710;132;22;0;95;29;2;1;0;1;0;40
SC;DOUTOR PEDRINHO;3298;1632;0;163;22;331;117;0;4;11;643;171;8;0;135;28;0;1;0;2;0;30
SC;ENTRE RIOS;2204;1190;0;40;1;182;33;0;0;4;640;64;28;0;12;2;0;0;0;0;0;8
SC;ERMO;4024;1170;0;98;487;247;41;0;3;5;630;119;10;0;165;1012;0;1;0;6;1;29
SC;ERVAL VELHO;4035;2071;0;210;47;539;136;0;0;14;693;127;22;0;94;46;0;2;0;2;0;32
SC;FAXINAL DOS GUEDES;9742;5296;0;527;198;1104;411;0;4;28;1198;310;60;0;212;269;1;7;0;1;3;113
SC;FLOR DO SERTAO;1397;705;0;26;11;134;36;0;0;13;369;34;19;0;18;25;0;0;0;0;0;7
SC;FLORIANOPOLIS;407803;239959;0;4321;396;24499;29814;2;222;976;61057;13589;2494;5;10362;531;17;645;24;517;90;18283
SC;FORMOSA DO SUL;2132;1027;0;102;53;276;48;0;0;15;410;60;11;0;39;76;0;1;0;0;0;14
SC;FORQUILHINHA;26594;14171;0;645;162;1855;768;0;36;40;6192;1152;43;0;924;203;3;33;0;20;1;346
SC;FRAIBURGO;29151;18461;0;1144;284;3001;1055;0;1;65;2984;760;276;0;444;303;14;21;0;11;4;323
SC;FREI ROGERIO;2086;1031;0;141;2;338;43;0;1;12;435;26;22;0;25;2;0;0;0;2;0;6
SC;GALVAO;2507;1401;0;142;11;331;72;0;0;10;402;30;23;0;28;15;0;0;0;0;0;42
SC;GAROPABA;24661;12000;0;348;44;2165;1653;0;12;34;4511;1698;85;2;738;62;5;88;0;6;9;1201
SC;GARUVA;14469;7456;0;639;525;1268;510;0;10;40;2034;349;54;0;620;700;0;32;0;30;2;200
SC;GASPAR;55937;30361;0;1689;383;4994;2554;0;22;97;9352;2895;140;1;1475;447;1;63;1;139;32;1291
SC;GOVERNADOR CELSO RAMOS;11280;5753;0;261;30;932;565;0;3;39;2053;895;24;0;380;42;0;16;0;10;1;276
SC;GRAO PARA;6039;3076;0;335;43;703;207;0;0;11;1092;204;33;0;139;47;0;9;0;4;2;134
SC;GRAVATAL;11431;5499;0;379;159;912;391;0;19;20;2542;724;32;0;297;205;3;30;0;9;2;208
