UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;ACRELANDIA;8065;1832;0;453;41;904;79;0;5;13;3963;512;49;0;113;71;0;2;0;0;1;27
AC;ASSIS BRASIL;2352;415;0;31;0;205;29;0;4;3;1473;146;4;0;31;3;0;0;0;0;0;8
AC;BRASILEIA;13337;2965;0;361;398;1881;143;0;9;16;5605;1103;22;0;217;561;0;0;0;0;3;53
AC;BUJARI;3016;796;0;156;52;369;22;0;9;6;1378;100;17;0;50;56;0;0;0;0;1;4
AC;CAPIXABA;3090;864;0;97;7;336;27;0;9;4;1507;158;19;0;42;16;0;0;0;0;0;4
AC;CRUZEIRO DO SUL;42949;8615;0;801;158;4000;432;1;43;62;19345;8790;87;0;106;315;0;1;0;0;9;184
AC;EPITACIOLANDIA;8451;2321;0;317;110;1264;128;0;7;11;3065;865;18;0;143;178;0;0;0;0;3;21
AC;FEIJO;5358;778;0;120;7;419;46;0;60;4;2954;878;10;0;34;13;0;1;0;0;20;14
AC;JORDAO;227;20;0;6;0;30;2;0;0;0;121;46;1;0;1;0;0;0;0;0;0;0
AC;MANCIO LIMA;4677;820;0;105;4;386;34;0;2;4;2598;686;18;0;3;7;0;0;0;0;0;10
AC;MANOEL URBANO;1657;285;0;60;1;204;12;0;3;1;854;192;5;0;34;3;0;0;0;0;0;3
AC;MARECHAL THAUMATURGO;532;15;0;14;0;42;1;0;0;0;373;76;9;0;0;0;0;0;0;0;1;1
AC;PLACIDO DE CASTRO;5976;1625;0;156;14;624;61;0;10;8;2760;528;31;0;104;29;3;1;0;0;6;16
AC;PORTO ACRE;4920;1075;0;181;6;576;51;0;10;4;2711;198;44;0;47;9;0;2;0;0;0;6
AC;PORTO WALTER;528;16;0;12;0;54;0;0;1;0;350;88;6;0;0;0;0;0;0;0;0;1
AC;RIO BRANCO;219789;76664;0;4693;666;20134;4119;8;815;382;85945;18173;1001;0;4199;1121;55;47;0;3;138;1626
AC;RODRIGUES ALVES;2307;280;0;33;1;160;11;0;2;2;1372;428;11;0;1;0;0;0;0;0;0;6
AC;SANTA ROSA DO PURUS;273;19;0;7;0;29;0;0;1;0;181;29;3;0;4;0;0;0;0;0;0;0
AC;SENA MADUREIRA;11671;1935;0;144;15;1185;85;0;36;7;5894;2177;11;0;103;30;0;1;0;0;2;46
AC;SENADOR GUIOMARD;8551;2660;0;357;71;900;87;0;31;14;3431;633;40;0;199;94;1;1;0;0;3;29
AC;TARAUACA;6577;777;0;171;24;517;55;0;9;18;3187;1692;18;0;35;45;0;0;0;0;8;21
AC;XAPURI;5557;924;0;101;8;528;36;1;6;5;3432;419;8;0;59;12;1;0;0;0;3;14
AL;AGUA BRANCA;5783;1355;0;167;8;620;46;0;17;103;3160;199;34;0;41;17;0;7;0;0;0;9
AL;ANADIA;3671;1336;0;63;0;206;116;0;8;35;1502;240;55;0;80;11;0;1;0;0;0;18
AL;ARAPIRACA;141514;43223;0;3498;615;8851;2727;1;1594;523;55588;18565;690;0;2880;1171;10;14;0;3;38;1523
AL;ATALAIA;9332;4595;0;265;17;377;225;0;147;59;2532;305;193;0;492;64;0;10;0;0;2;49
AL;BARRA DE SANTO ANTONIO;3316;1294;0;41;6;162;58;0;253;17;1171;123;44;0;98;29;0;0;0;0;0;20
AL;BARRA DE SAO MIGUEL;2816;1141;0;31;3;191;83;0;283;5;821;86;19;0;87;12;0;3;0;0;2;49
AL;BATALHA;5020;1533;0;180;10;354;58;0;1;51;2353;330;27;0;88;16;0;0;0;0;1;18
AL;BELEM;1506;404;0;11;0;80;24;0;3;18;864;38;10;0;45;5;0;0;0;0;0;4
AL;BELO MONTE;1057;228;0;36;2;104;8;0;1;18;615;21;8;0;7;5;0;0;0;0;0;4
AL;BOCA DA MATA;6975;2171;0;218;30;359;102;0;21;88;2875;712;114;0;192;72;0;0;0;1;3;17
AL;BRANQUINHA;1960;552;0;37;0;118;25;0;18;24;1061;46;29;0;38;11;0;0;0;0;0;1
AL;CACIMBINHAS;2806;783;0;100;0;174;32;0;7;43;1502;80;17;0;48;12;0;0;0;0;0;8
AL;CAJUEIRO;3830;1287;0;97;2;158;75;0;21;15;1704;255;57;0;123;24;0;0;0;0;1;11
AL;CAMPESTRE;831;365;0;50;6;65;37;0;0;51;179;32;12;0;25;6;0;0;0;0;1;2
AL;CAMPO ALEGRE;6863;2396;0;176;79;388;100;2;56;122;2347;635;183;0;225;124;0;2;0;0;2;26
AL;CAMPO GRANDE;3186;683;0;51;0;170;30;0;3;15;2033;146;23;0;20;4;0;0;0;0;0;8
AL;CANAPI;3814;1016;0;108;3;305;26;0;6;109;2042;101;27;0;46;10;0;3;0;0;1;11
AL;CAPELA;2658;987;0;64;6;144;59;0;34;5;1057;106;74;0;89;25;0;1;0;0;0;7
AL;CARNEIROS;1779;481;0;45;2;112;20;0;1;20;1006;33;14;0;30;9;0;0;0;0;1;5
AL;CHA PRETA;1710;390;0;35;1;139;20;0;3;16;1032;27;11;0;24;7;0;0;0;0;0;5
AL;COITE DO NOIA;3773;865;0;102;3;198;31;0;2;8;2285;202;32;0;27;8;0;0;0;0;4;6
AL;COLONIA LEOPOLDINA;2513;1009;0;125;4;193;78;0;6;43;890;72;41;0;38;5;0;0;0;0;0;9
AL;COQUEIRO SECO;1452;584;0;15;0;51;20;0;62;2;647;27;8;0;30;5;0;0;0;0;0;1
AL;CORURIPE;17755;5206;0;390;49;1260;270;0;158;95;7189;1876;303;0;651;202;0;1;0;2;1;102
AL;CRAIBAS;8301;2307;0;233;24;601;82;0;28;53;4011;740;55;0;100;41;0;0;0;0;0;26
AL;DELMIRO GOUVEIA;27318;9613;0;1226;69;2189;405;1;357;523;10398;1785;151;0;326;142;0;7;0;1;11;114
AL;DOIS RIACHOS;3777;880;0;117;10;203;60;0;1;18;2238;104;25;0;70;38;1;0;0;6;0;6
AL;ESTRELA DE ALAGOAS;4468;1274;0;66;2;317;36;0;14;98;2426;109;27;0;74;13;0;0;0;1;0;11
AL;FEIRA GRANDE;6522;1290;0;116;11;505;58;0;8;9;3689;711;53;0;43;16;1;0;0;0;0;12
AL;FELIZ DESERTO;856;316;0;15;0;77;11;0;6;5;342;39;8;0;23;7;0;0;0;0;0;7
AL;FLEXEIRAS;2038;847;0;44;0;120;47;0;11;20;759;48;56;0;58;17;0;0;0;0;1;10
AL;GIRAU DO PONCIANO;12381;3420;0;221;9;653;130;0;20;96;6728;825;117;0;103;25;0;0;0;0;1;33
AL;IBATEGUARA;3080;893;0;67;2;223;51;0;3;73;1498;158;39;0;49;7;0;0;0;0;0;17
AL;IGACI;7398;2039;0;159;1;504;72;0;8;120;3889;425;53;0;85;25;0;0;0;0;0;18
AL;IGREJA NOVA;6153;1324;0;68;7;206;47;0;22;30;3844;343;131;0;85;39;0;1;0;0;0;6
AL;INHAPI;5394;1100;0;94;12;388;39;0;1;54;3289;329;14;0;56;10;0;0;0;0;0;8
AL;JACARE DOS HOMENS;1243;402;0;35;3;75;8;0;1;13;631;29;20;0;21;5;0;0;0;0;0;0
AL;JACUIPE;900;310;0;19;0;56;38;0;1;14;406;15;21;0;17;0;0;0;0;0;1;2
AL;JAPARATINGA;2195;913;0;36;0;125;62;0;40;19;837;74;17;0;42;8;0;0;0;0;0;22
AL;JARAMATAIA;1140;427;0;29;1;96;10;0;0;16;492;46;7;0;11;4;0;0;0;0;0;1
AL;JEQUIA DA PRAIA;1767;570;0;37;5;122;23;0;13;10;813;55;55;0;51;7;0;0;0;0;0;6
AL;JOAQUIM GOMES;3539;1223;0;134;12;246;63;0;16;38;1508;70;100;0;98;22;0;0;0;0;1;8
AL;JUNDIA;862;335;0;26;1;67;24;0;0;8;348;19;15;0;15;4;0;0;0;0;0;0
AL;JUNQUEIRO;7683;1955;0;191;86;517;86;1;16;40;3350;912;129;0;239;143;3;0;0;0;0;15
AL;LAGOA DA CANOA;6689;1704;0;116;4;338;61;0;20;35;3674;594;50;0;62;14;0;0;0;0;0;17
AL;LIMOEIRO DE ANADIA;7297;1762;0;204;12;521;71;1;29;37;3604;808;94;0;115;18;0;0;0;0;0;21
AL;MACEIO;418724;212635;0;9384;1510;28465;17608;17;9380;1512;101776;10017;2809;1;10465;3706;18;143;0;116;144;9018
AL;MAJOR ISIDORO;4558;1287;0;133;30;290;48;0;2;32;2418;113;38;0;88;54;0;0;0;0;0;25
AL;MAR VERMELHO;1162;296;0;16;2;63;10;0;2;2;712;30;9;0;16;3;0;0;0;0;0;1
AL;MARAGOGI;6299;2610;0;129;2;484;236;0;136;166;1943;319;68;0;127;9;0;4;0;0;5;61
AL;MARAVILHA;2877;751;0;86;4;191;25;0;1;68;1634;51;10;0;42;9;0;1;0;0;0;4
AL;MARECHAL DEODORO;18003;8127;0;492;50;1095;621;0;1206;100;4386;535;223;0;685;142;0;4;0;0;17;320
AL;MARIBONDO;3632;1325;0;84;2;293;66;0;27;17;1468;103;21;0;169;31;0;1;0;0;0;25
AL;MATA GRANDE;5402;1221;0;82;2;571;49;0;0;76;3164;140;25;0;55;12;0;0;0;0;0;5
AL;MATRIZ DE CAMARAGIBE;5446;1968;0;173;2;373;151;0;159;45;1958;175;179;0;185;38;0;1;0;0;2;37
AL;MESSIAS;3559;1350;0;78;8;187;99;0;76;51;1358;112;123;0;70;26;0;0;0;0;0;21
AL;MINADOR DO NEGRAO;1749;502;0;69;0;135;8;0;0;12;960;21;9;0;19;8;0;0;0;0;0;6
AL;MONTEIROPOLIS;1572;424;0;28;0;109;5;0;2;13;927;39;6;0;14;3;0;0;0;0;0;2
AL;MURICI;6183;1771;0;168;12;301;117;0;89;25;2917;436;138;0;140;29;0;3;0;0;2;35
AL;NOVO LINO;2188;1035;0;110;8;134;78;0;6;37;615;28;74;0;47;7;0;0;0;0;0;9
AL;OLHO D'AGUA DAS FLORES;7298;2136;0;252;21;556;105;0;10;88;3521;276;59;0;163;75;0;0;0;0;0;36
AL;OLHO D'AGUA DO CASADO;2221;734;0;48;1;145;12;0;6;19;1148;68;11;0;23;4;0;0;0;0;0;2
AL;OLHO D'AGUA GRANDE;1346;305;0;12;0;59;6;0;0;3;867;69;13;0;10;1;0;0;0;0;0;1
AL;OLIVENCA;3028;801;0;64;0;145;27;0;2;37;1813;70;12;0;38;7;0;0;0;0;0;12
AL;OURO BRANCO;3667;1057;0;149;21;248;56;0;0;72;1829;75;45;0;74;35;0;0;0;0;0;6
AL;PALESTINA;751;254;0;12;1;59;11;0;1;21;350;18;5;0;13;1;0;0;0;0;0;5
AL;PALMEIRA DOS INDIOS;30780;10121;0;730;71;2109;574;0;85;356;13621;1991;93;0;583;261;7;2;0;1;2;173
AL;PAO DE ACUCAR;4367;1240;0;90;9;263;58;0;3;100;2165;263;38;0;68;52;0;2;0;0;3;13
AL;PARICONHA;2858;630;0;43;0;238;17;0;7;65;1749;67;11;0;20;3;0;0;0;0;1;7
AL;PARIPUEIRA;3523;1399;0;89;4;249;129;0;242;9;1063;127;20;0;128;18;0;0;0;0;0;46
AL;PASSO DE CAMARAGIBE;2684;936;0;42;0;137;34;0;234;13;1089;75;35;0;66;12;0;0;0;0;1;10
AL;PAULO JACINTO;1663;417;0;20;1;110;16;0;8;13;1001;35;9;0;20;8;0;0;0;0;0;5
AL;PENEDO;22980;7192;0;390;29;1347;442;0;508;96;9486;2408;379;0;469;117;2;2;0;0;6;107
AL;PIACABUCU;2932;941;0;34;1;254;56;0;72;18;1108;292;20;0;103;14;0;0;0;0;4;15
AL;PILAR;10574;4337;0;199;41;500;256;0;345;63;3038;1133;175;0;369;58;0;2;0;4;2;52
AL;PINDOBA;543;134;0;6;0;34;5;0;0;1;338;6;3;0;16;0;0;0;0;0;0;0
AL;PIRANHAS;7242;1974;0;101;3;435;69;0;3;105;4038;370;21;0;81;8;0;1;0;0;2;31
AL;POCO DAS TRINCHEIRAS;3542;876;0;93;4;227;35;0;1;77;2069;65;25;0;44;19;0;0;0;0;0;7
AL;PORTO CALVO;7375;2420;0;339;14;357;233;0;47;138;3007;414;120;0;209;34;0;0;0;0;4;39
AL;PORTO DE PEDRAS;2076;698;0;33;1;107;31;0;109;18;888;109;8;0;52;3;0;1;0;0;1;17
AL;PORTO REAL DO COLEGIO;3424;976;0;57;4;179;40;0;12;37;1809;194;40;0;53;13;0;1;0;0;0;9
AL;QUEBRANGULO;2671;688;0;42;2;197;46;0;3;24;1516;80;22;0;28;11;0;0;0;0;1;11
AL;RIO LARGO;23736;10635;0;635;178;1220;596;0;914;269;7325;526;333;0;627;335;4;1;0;0;11;127
AL;ROTEIRO;1359;536;0;22;1;71;49;0;23;26;533;32;14;0;34;13;0;0;0;0;0;5
AL;SANTA LUZIA DO NORTE;1615;734;0;26;0;88;38;0;52;6;543;22;47;0;47;6;0;0;0;0;0;6
AL;SANTANA DO IPANEMA;22521;5816;0;744;52;1334;231;0;23;338;12093;991;101;0;464;210;0;1;0;0;11;112
AL;SANTANA DO MUNDAU;3410;640;0;81;2;201;35;0;4;28;2182;154;17;0;47;13;0;0;0;0;0;6
AL;SAO BRAS;688;200;0;9;0;46;18;0;0;3;366;31;8;0;4;1;0;0;0;0;1;1
AL;SAO JOSE DA LAJE;5172;1605;0;148;1;269;118;0;29;74;2260;370;92;0;146;14;0;0;0;0;3;43
AL;SAO JOSE DA TAPERA;7056;2356;0;157;7;411;103;0;4;119;3390;285;55;0;125;25;0;0;0;0;3;16
AL;SAO LUIS DO QUITUNDE;6792;2413;0;333;17;366;118;0;154;44;2423;252;269;0;260;117;1;0;0;0;1;24
AL;SAO MIGUEL DOS CAMPOS;19865;6628;0;407;125;821;371;0;128;185;7929;1920;271;0;597;354;0;2;0;2;2;123
AL;SAO MIGUEL DOS MILAGRES;2681;971;0;52;0;206;56;0;149;5;946;209;7;0;51;10;0;0;0;0;0;19
AL;SAO SEBASTIAO;10627;2609;0;218;62;588;81;0;54;57;5190;1149;246;0;232;109;0;0;0;0;2;30
AL;SATUBA;6552;3184;0;151;39;368;179;0;163;31;1960;168;34;0;170;64;0;0;0;0;1;40
AL;SENADOR RUI PALMEIRA;2727;696;0;58;1;220;32;0;2;39;1542;61;26;0;36;7;0;0;0;0;0;7
AL;TANQUE D'ARCA;1798;495;0;26;1;81;31;0;4;20;1034;40;13;0;43;4;0;1;0;0;0;5
AL;TAQUARANA;6660;1561;0;122;10;421;63;0;7;98;3818;345;55;0;114;26;0;1;0;0;0;19
AL;TEOTONIO VILELA;11471;3376;0;235;57;561;145;1;223;87;4860;1209;244;0;322;105;0;0;0;0;2;44
AL;TRAIPU;4680;1016;0;107;2;255;40;0;2;31;2956;168;44;0;40;3;0;0;0;0;1;15
AL;UNIAO DOS PALMARES;23092;6181;0;616;35;1333;384;0;297;328;11675;1307;284;0;409;95;0;3;0;0;4;141
AL;VICOSA;7530;2155;0;146;11;436;134;0;25;28;4111;215;55;0;152;31;2;0;0;0;0;29
AM;ALVARAES;984;23;0;19;0;47;0;0;0;0;624;242;7;0;0;0;0;0;0;0;22;0
AM;AMATURA;404;5;0;8;0;18;2;0;0;1;240;126;1;0;2;0;0;0;0;0;1;0
AM;ANAMA;284;13;0;0;0;9;0;0;2;1;191;61;4;0;1;0;0;0;0;0;2;0
AM;ANORI;817;31;0;20;3;42;4;0;0;3;535;174;2;0;0;1;0;0;0;0;2;0
AM;APUI;5733;626;0;305;17;972;45;0;0;4;2871;760;38;0;34;34;0;0;0;0;4;23
AM;ATALAIA DO NORTE;718;26;0;3;0;35;5;0;0;1;381;265;1;0;0;0;0;0;0;0;0;1
AM;AUTAZES;3131;340;0;70;1;204;46;0;3;10;1731;656;35;0;4;6;0;0;0;0;21;4
AM;BARCELOS;1447;131;0;17;1;80;15;0;1;3;820;363;1;0;1;1;0;0;0;0;9;4
AM;BARREIRINHA;1020;20;0;8;0;26;3;0;0;1;640;309;6;0;0;1;0;0;0;0;6;0
AM;BENJAMIN CONSTANT;2491;91;0;24;1;69;19;0;0;6;1224;1042;4;0;0;3;0;0;0;0;5;3
AM;BERURI;702;27;0;14;0;35;2;0;0;0;435;185;0;0;0;2;0;0;0;0;1;1
AM;BOA VISTA DO RAMOS;788;19;0;6;0;25;2;0;1;0;558;173;1;0;0;0;0;0;0;0;3;0
AM;BOCA DO ACRE;4785;729;0;85;14;311;22;1;0;10;2657;873;13;0;13;45;0;1;0;0;9;2
AM;BORBA;1247;76;0;25;0;75;12;0;1;0;724;321;6;0;0;0;0;0;0;0;6;1
AM;CAAPIRANGA;407;26;0;10;0;37;3;0;0;1;198;120;7;0;0;1;0;0;0;0;4;0
AM;CANUTAMA;444;24;0;6;0;30;1;0;0;0;261;111;1;0;0;0;0;0;0;0;10;0
AM;CARAUARI;3417;131;0;57;0;108;17;0;0;2;2175;883;5;0;5;0;0;0;0;0;29;5
AM;CAREIRO;3757;715;0;109;4;392;168;0;5;69;1770;325;121;0;15;8;0;1;0;0;47;8
AM;CAREIRO DA VARZEA;622;150;0;33;5;63;42;0;3;26;186;44;49;0;0;4;0;0;0;1;16;0
AM;COARI;13785;757;0;145;7;455;67;0;7;8;8503;3740;16;0;3;3;0;0;0;0;56;18
AM;CODAJAS;1031;44;0;12;0;60;6;0;1;5;678;219;4;0;0;0;0;0;0;0;1;1
AM;EIRUNEPE;2732;126;0;42;0;105;14;0;0;4;1815;613;8;0;0;1;0;0;0;0;2;2
AM;ENVIRA;629;28;0;17;0;38;6;0;0;0;427;107;5;0;0;0;0;0;0;0;0;1
AM;FONTE BOA;2113;31;0;24;0;66;6;0;1;1;1619;362;0;0;1;1;0;0;0;0;1;0
AM;GUAJARA;637;158;0;22;0;105;7;0;0;1;215;113;11;0;2;0;0;0;0;0;1;2
AM;HUMAITA;12937;1617;0;422;98;981;84;0;11;17;5857;3459;65;0;135;136;0;0;0;1;24;30
AM;IPIXUNA;59;7;0;6;0;15;2;0;0;0;16;10;3;0;0;0;0;0;0;0;0;0
AM;IRANDUBA;11016;2508;0;402;38;1122;232;2;22;60;5087;1109;190;0;65;103;0;1;0;1;39;35
AM;ITACOATIARA;29989;3954;0;406;48;1202;219;0;22;46;13403;10258;196;0;61;80;0;1;0;0;70;23
AM;ITAMARATI;403;10;0;15;0;19;4;0;0;1;296;56;2;0;0;0;0;0;0;0;0;0
AM;ITAPIRANGA;1331;242;0;31;4;112;10;0;1;5;604;289;12;0;1;12;0;0;0;0;8;0
AM;JAPURA;554;12;0;8;0;19;2;0;0;0;403;106;4;0;0;0;0;0;0;0;0;0
AM;JURUA;710;10;0;10;0;31;3;0;0;0;500;151;4;0;0;0;0;0;0;0;1;0
AM;JUTAI;1179;14;0;8;0;49;3;0;1;2;935;161;3;0;0;2;0;0;0;0;0;1
AM;LABREA;3926;243;0;79;1;265;24;0;0;5;2256;997;12;0;5;12;0;0;0;0;15;12
AM;MANACAPURU;23752;3815;0;437;22;1470;367;0;8;107;11241;5847;184;0;46;66;0;1;0;0;87;54
AM;MANAQUIRI;1162;189;0;27;0;102;23;0;1;15;663;111;10;0;0;0;0;0;0;0;21;0
AM;MANAUS;927883;430923;0;18784;4838;95433;28304;34;2045;3210;271361;33808;9243;0;4778;14989;6;106;0;112;1367;8542
AM;MANICORE;3885;246;0;92;19;274;16;0;1;7;1829;1287;57;0;11;16;0;0;0;0;19;11
AM;MARAA;789;9;0;7;0;20;6;0;0;1;555;188;0;0;0;0;0;0;0;0;3;0
AM;MAUES;7037;492;0;62;0;260;52;0;8;5;3723;2364;27;0;1;0;0;0;0;0;32;11
AM;NHAMUNDA;927;12;0;9;0;14;3;0;0;0;512;369;8;0;0;0;0;0;0;0;0;0
AM;NOVA OLINDA DO NORTE;1626;91;0;30;0;105;7;0;1;10;841;519;11;0;1;0;0;0;0;0;10;0
AM;NOVO AIRAO;2078;471;0;38;1;169;27;0;0;12;986;331;15;0;6;2;0;0;0;0;11;9
AM;NOVO ARIPUANA;1229;34;0;22;0;56;5;0;0;4;805;281;8;0;3;2;0;0;0;0;6;3
AM;PARINTINS;25828;1951;0;204;2;656;134;0;18;11;13032;9534;36;0;5;15;0;3;0;0;193;34
AM;PAUINI;433;23;0;6;0;21;8;0;0;1;292;78;1;0;0;0;0;0;0;0;2;1
AM;PRESIDENTE FIGUEIREDO;9217;2462;0;395;94;1142;303;0;7;68;3498;786;132;0;107;161;0;3;0;1;27;31
AM;RIO PRETO DA EVA;6413;1282;0;231;28;832;117;0;12;29;3101;556;101;0;37;49;0;0;0;0;16;22
AM;SANTA ISABEL DO RIO NEGRO;571;16;0;14;0;32;6;0;2;4;299;191;4;0;0;0;0;0;0;0;2;1
AM;SANTO ANTONIO DO ICA;1155;9;0;21;0;46;4;0;0;0;821;251;1;0;0;2;0;0;0;0;0;0
AM;SAO GABRIEL DA CACHOEIRA;5216;1551;0;100;1;519;63;0;4;18;1861;1004;41;0;11;2;0;2;0;0;28;11
AM;SAO PAULO DE OLIVENCA;1653;20;0;14;0;38;9;0;0;1;1205;357;6;0;1;0;0;0;0;0;2;0
AM;SAO SEBASTIAO DO UATUMA;453;24;0;9;0;18;0;0;0;1;303;89;2;0;1;0;0;0;0;0;6;0
AM;SILVES;752;67;0;15;0;55;11;0;0;10;342;94;5;0;2;110;0;0;0;0;41;0
AM;TABATINGA;12195;1184;0;104;0;375;135;0;4;13;5830;4463;9;0;3;5;0;1;0;0;40;29
AM;TAPAUA;833;33;0;12;0;52;5;0;1;0;498;225;4;0;0;0;0;0;0;0;3;0
AM;TEFE;15585;1159;0;101;1;469;81;0;1;23;8900;4648;29;0;10;5;1;1;0;0;135;21
AM;TONANTINS;639;5;0;6;0;21;3;0;0;0;452;148;1;0;0;1;0;0;0;0;2;0
AM;UARINI;794;7;0;16;0;26;2;0;0;1;617;115;2;0;0;2;0;0;0;0;5;1
AM;URUCARA;1081;46;0;29;2;53;3;0;0;3;632;298;4;0;0;2;0;0;0;0;9;0
AM;URUCURITUBA;889;35;0;9;0;48;8;0;1;0;545;231;2;0;0;2;0;0;0;0;8;0
AP;AMAPA;815;290;0;22;0;61;20;0;4;6;335;61;4;0;7;0;0;0;0;0;3;2
AP;CALCOENE;1069;267;0;34;6;83;15;0;2;2;557;67;7;0;12;14;0;0;0;0;2;1
AP;CUTIAS;207;64;0;10;1;14;7;0;0;3;93;15;0;0;0;0;0;0;0;0;0;0
AP;FERREIRA GOMES;736;292;0;30;1;58;27;0;3;8;239;55;9;0;10;2;0;0;0;0;0;2
AP;ITAUBAL;239;70;0;18;0;14;4;0;2;0;117;10;3;0;1;0;0;0;0;0;0;0
AP;LARANJAL DO JARI;6614;1724;0;121;4;450;130;0;15;9;3227;840;31;0;9;9;0;0;0;0;9;36
AP;MACAPA;192632;81731;0;3586;447;23965;4542;13;1067;420;58807;12752;831;0;1559;862;29;26;0;7;340;1648
AP;MAZAGAO;1582;712;0;55;4;102;38;0;16;16;492;81;41;0;5;8;0;0;0;0;4;8
AP;OIAPOQUE;4893;1429;0;109;28;377;71;0;57;7;2169;522;29;0;11;44;0;0;0;0;8;32
AP;PEDRA BRANCA DO AMAPARI;979;310;0;53;3;86;57;0;1;8;341;74;29;0;7;1;0;0;0;1;5;3
AP;PORTO GRANDE;2954;987;0;96;17;207;100;0;14;12;1206;211;50;0;19;25;1;1;0;0;4;4
AP;PRACUUBA;198;74;0;13;0;18;5;0;0;3;76;3;2;0;2;1;0;0;0;0;0;1
AP;SANTANA;35192;13310;0;816;163;3526;659;1;139;70;11617;2947;411;0;190;1107;20;0;0;1;64;151
AP;SERRA DO NAVIO;594;255;0;21;3;46;43;0;0;4;182;25;8;0;3;4;0;0;0;0;0;0
AP;TARTARUGALZINHO;846;250;0;46;2;71;36;0;2;11;369;41;6;0;7;2;0;0;0;0;2;1
AP;VITORIA DO JARI;552;142;0;20;1;49;7;0;0;3;257;61;5;0;0;3;0;0;0;0;1;3
BA;ABAIRA;2640;1187;0;73;11;351;38;0;0;32;810;82;16;0;11;11;0;0;0;0;0;18
BA;ABARE;3042;793;0;62;2;287;28;0;2;47;1683;67;33;0;27;1;0;1;0;0;2;7
BA;ACAJUTIBA;3363;1044;0;104;0;230;56;0;6;19;1483;324;29;0;58;0;0;0;0;0;2;8
BA;ADUSTINA;2553;322;0;30;1;168;11;0;0;6;1809;180;10;0;8;1;0;0;0;0;2;5
BA;AGUA FRIA;2767;1012;0;41;1;159;57;0;4;27;1275;92;59;0;31;0;0;0;0;0;2;7
BA;AIQUARA;689;256;0;9;0;67;15;0;0;8;299;16;6;0;10;0;0;0;0;0;0;3
BA;ALAGOINHAS;68300;27741;0;1366;431;4728;1856;7;484;452;19578;7619;739;1;1595;880;5;0;0;21;41;756
BA;ALCOBACA;5361;1977;0;92;4;509;105;0;16;13;1923;511;42;0;113;3;0;1;0;0;3;49
BA;ALMADINA;889;429;0;18;0;80;30;0;1;5;277;27;6;0;12;0;0;0;0;0;2;2
BA;AMARGOSA;14823;5926;0;364;22;1362;279;0;479;98;5171;687;123;0;167;32;0;0;0;0;8;105
BA;AMELIA RODRIGUES;8055;3099;0;436;135;438;311;0;86;121;2194;808;46;0;187;155;1;1;0;1;6;30
BA;AMERICA DOURADA;3102;1417;0;55;4;238;29;0;0;22;1224;66;19;0;18;2;0;0;0;0;1;7
BA;ANAGE;4037;1676;0;165;25;376;56;0;8;97;1361;127;60;0;41;31;0;0;0;1;0;13
BA;ANDARAI;2264;770;0;64;3;256;39;0;0;24;985;43;35;0;19;6;0;1;0;0;1;18
BA;ANDORINHA;4141;1577;0;106;8;498;70;0;8;23;1655;69;62;0;39;10;0;0;0;0;0;16
BA;ANGICAL;2956;994;0;60;9;372;25;0;9;25;1211;147;43;0;47;7;0;0;0;0;1;6
BA;ANGUERA;1912;874;0;28;7;82;79;0;2;8;709;44;15;0;28;15;0;0;0;0;2;19
BA;ANTAS;3230;737;0;64;4;211;25;0;0;10;1789;307;17;0;46;8;0;0;0;0;0;12
BA;ANTONIO CARDOSO;1929;672;0;21;4;67;30;0;1;34;991;49;28;0;16;12;0;0;0;0;0;4
BA;ANTONIO GONCALVES;2222;812;0;34;8;191;30;0;5;20;1003;70;17;0;19;8;0;0;0;0;0;5
BA;APORA;3615;1086;0;62;2;190;48;0;0;42;1807;260;46;0;57;10;0;0;0;0;0;5
BA;APUAREMA;1533;461;0;33;1;117;45;0;0;6;774;77;12;0;5;0;0;0;0;0;0;2
BA;ARACAS;2698;1185;0;107;8;207;56;0;3;23;838;165;39;0;51;5;0;1;0;0;3;7
BA;ARACATU;3736;1463;0;170;33;467;41;0;1;46;1290;113;42;0;20;40;0;0;0;0;2;8
BA;ARACI;11474;4856;0;344;45;1161;300;0;13;48;3805;548;111;0;126;35;0;1;0;0;5;76
BA;ARAMARI;1802;701;0;36;1;121;40;0;8;8;741;89;19;0;19;5;0;0;0;0;0;14
BA;ARATACA;1450;547;0;50;2;151;32;0;1;5;592;29;10;0;24;0;0;0;0;0;0;7
BA;ARATUIPE;1788;568;0;54;0;119;56;0;0;16;898;29;25;0;18;0;0;0;0;0;1;4
BA;AURELINO LEAL;1897;769;0;48;3;156;112;0;1;11;649;89;18;0;24;5;0;0;0;0;1;11
BA;BAIANOPOLIS;3203;1076;0;86;25;437;41;0;2;10;1216;145;57;0;67;33;0;2;0;0;0;6
BA;BAIXA GRANDE;4365;1599;0;128;3;464;79;0;1;97;1717;138;57;0;53;0;0;1;0;0;2;26
BA;BANZAE;2314;620;0;30;0;216;37;0;0;9;1141;199;37;0;20;0;0;0;0;0;0;5
